NOME ÓRGÃO;VALOR TRANSAÇÃO
Polícia Federal;1437346.23
Fundação Instituto Brasileiro de Geografia e Estatística;543846.41
Presidência da República;409970.69
Comando da Marinha;262148.22
Receita Federal do Brasil;167674.56
Comando do Exército;156070.87
Instituto Nacional de Colonização e Reforma Agrária;111224.41
Empresa Brasileira de Serviços Hospitalares;90679.08
Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais;70402.76
Hospital Nossa Senhora da Conceição S.A.;68800.14
Polícia Rodoviária Federal;65481.26
Instituto Federal de Educação, Ciência e Tecnologia Catarinense;62649.07
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;54509.78
Instituto Federal de Educação, Ciência e Tecnologia Goiano;51915.16
Fundo Constitucional do Distrito Federal;50181.1
Instituto Federal de Educação, Ciência e Tecnologia Baiano;48516.48
Instituto Chico Mendes de Conservação da Biodiversidade;46682.86
Fundo do Exército;44318.01
Instituto Federal de Educação, Ciência e Tecnologia do Maranhão;39997.26
Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;39251.38
Universidade Federal de Goiás;36270.36
Companhia Nacional de Abastecimento;35873.76
Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto;35835.13
Ministério da Agricultura e Pecuária - Unidades com vínculo direto;33318.31
Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;33058.45
Fundação Nacional de Saúde;31869.31
Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso;30906.9
Ministério da Defesa - Unidades com vínculo direto;28511.3
Fundo Penitenciário Nacional;28445.05
Instituto Federal de Educação, Ciência e Tecnologia de Rondônia;26258.78
Colégio Pedro II;24372.510000000002
Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto;24235.22
Ministério da Saúde - Unidades com vínculo direto;24045.29
Fundação Oswaldo Cruz;23793.46
Hospital de Clínicas de Porto Alegre;23433.33
Companhia Brasileira de Trens Urbanos;22262.45
Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;21795.63
Companhia de Pesquisa de Recursos Minerais;21607.04
Fundação Universidade Federal do Acre;21282.03
Empresa Brasileira de Pesquisa Agropecuária;20903.98
Ministério do Trabalho e Emprego - Unidades com vínculo direto;20339.08
Instituto Federal de Educação, Ciência e Tecnologia de Alagoas;20142.57
Universidade Federal Rural do Rio de Janeiro;19240.69
Universidade Federal de Pernambuco;18738.97
Empresa Brasil de Comunicação;17602.31
Instituto Federal de Educação, Ciência e Tecnologia da Paraíba;17302.92
Universidade Federal de Juiz de Fora;17250.63
Agência Nacional de Mineração;17237.17
Fundação Universidade Federal de Sergipe;15934.58
Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul;15891.43
Advocacia-Geral da União - Unidades com vínculo direto;15084.34
Comissão Nacional de Energia Nuclear;14689.98
Instituto Federal de Educação, Ciência e Tecnologia do Amazonas;14529.59
Instituto Nacional de Metrologia, Qualidade e Tecnologia;14424.17
Fundação Universidade Federal de São Carlos;14101.56
Ministério das Relações Exteriores - Unidades com vínculo direto;13737.24
Universidade Federal do Rio Grande do Norte;13290.7
Universidade Federal de Minas Gerais;12793.25
Superintendência da Zona Franca de Manaus;12165.55
Instituto Federal de Educação, Ciência e Tecnologia de Brasília;12149.4
Indústria de Material Bélico do Brasil;12107.960000000001
Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;11719.19
Agência Nacional de Saúde Suplementar;10821.16
Departamento Nacional de Infraestrutura de Transportes;10638.33
Centro Federal de Educação Tecnológica de Minas Gerais;10581.18
Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;10512.74
Universidade Federal de Lavras;10394.93
Fundação Cultural Palmares;9905.93
Fundação Nacional de Artes;9566.65
Universidade Federal Fluminense;9146.58
Comando da Marinha - Fundo Naval;9112.27
Fundação Universidade Federal do Pampa;8696.0
Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina;7873.55
Agência Nacional de Transportes Terrestres;7485.5599999999995
Universidade Federal de Santa Maria;7476.55
Fundação Universidade Federal de Pelotas;6826.96
Instituto Federal de Educação, Ciência e Tecnologia de Goiás;6690.0199999999995
Comando da Aeronáutica;6665.9
Fundação Joaquim Nabuco;6362.93
Agência Nacional de Águas e Saneamento Básico;5915.7300000000005
Fundação Universidade de Brasília;5507.63
Agência Nacional de Vigilância Sanitária;4952.3
Comissão de Valores Mobiliários;4661.49
Conselho Nacional de Desenvolvimento Científico e Tecnológico;4570.0
Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;4479.99
Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais;4460.9400000000005
Fundação Universidade Federal de Ciências da Saúde de Porto Alegre;4203.74
Universidade Federal do Espírito Santo;4171.639999999999
Caixa de Financiamento Imobiliário da Aeronáutica;4104.43
Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul;4068.04
Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho;3782.2799999999997
Agência Nacional do Cinema;3720.25
Ministério da Previdência Social - Unidades com vínculo direto;3685.8900000000003
Instituto Federal do Paraná;3511.48
Agência Nacional de Transportes Aquaviários;3444.0
Superintendência do Desenvolvimento da Amazônia;3375.21
Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense;3315.91
Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco;3165.44
Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;3150.92
Universidade Tecnológica Federal do Paraná;3143.1
Ministério de Minas e Energia - Unidades com vínculo direto;3031.6
Instituto Federal de Educação, Ciência e Tecnologia de Roraima;3000.0
Departamento Nacional de Obras Contra as Secas;2776.3
Fundação Universidade Federal de São João Del-Rei;2730.58
Agência Nacional de Energia Elétrica;2359.7200000000003
Instituto do Patrimônio Histórico e Artístico Nacional;2321.01
Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;2248.64
Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro;2140.26
Agência Espacial Brasileira;2106.55
Universidade Federal da Integração Latino-Americana;2063.12
Fundação Universidade Federal de Uberlândia;2016.8799999999999
Ministério do Esporte - Unidades com vínculo direto;1966.95
Superintendência Nacional de Previdência Complementar;1783.3
Fundo de Imprensa Nacional;1721.6
Controladoria-Geral da União - Unidades com vínculo direto;1690.94
Conselho Administrativo de Defesa Econômica;1667.72
Universidade Federal dos Vales do Jequitinhonha e Mucuri;1534.58
Instituto Federal de Educação, Ciência e Tecnologia Fluminense;1491.67
Amazônia Azul Tecnologia de Defesa S.A.;1411.37
Fundação Alexandre de Gusmão;1385.9
Ministério das Comunicações - Unidades com vínculo direto;1356.9
Superintendência de Desenvolvimento do Centro-Oeste;1310.76
Universidade Federal da Bahia;1231.0
Universidade Federal Rural do Semi-Árido;1207.92
Fundo Nacional de Desenvolvimento da Educação;1043.65
Universidade Federal de Ouro Preto;954.05
Universidade Federal do Paraná;719.8
Agência Nacional de Aviação Civil;647.24
Fundação Universidade Federal do ABC;570.19
Ministério do Planejamento e Orçamento - Unidades com vínculo direto;528.2
Ministério da Justiça e Segurança Pública - Unidades com vínculo direto;484.47
Fundação Universidade Federal da Grande Dourados;476.42
Ministério da Fazenda - Unidades com vínculo direto;473.25
Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto;446.8
Fundação Escola Nacional de Administração Pública;322.98
Superintendência do Desenvolvimento do Nordeste;312.9
Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;267.40999999999997
Universidade Federal do Rio Grande;230.16
Universidade Federal de Alfenas;226.0
Instituto de Pesquisa Econômica Aplicada;208.8
Instituto Federal de Educação, Ciência e Tecnologia do Ceará;199.13
Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto;76.0
